8区平均μm,Al%,A级,B级,Cr%,Cu%,Cu+Cr+Ni%,C级,Mo%,N%,Ni%,P+S%,断面收缩率%,硅含量%,晶粒度级,抗拉强度MPa,磷含量%,硫含量%,锰含量%,偏析级,破断力KN,实测直径mm,碳含量%,椭圆度mm,DSL,JH_INVBASDOC_0001A11000000000JJMI,JH_INVBASDOC_0001A11000000000JJMU,JH_INVBASDOC_0001A11000000000JJN3,JH_INVBASDOC_0001A11000000000JJN6,JH_INVBASDOC_0001B21000000004ZBB3,JH_INVBASDOC_0001B210000000079RFT,JH_INVBASDOC_1001A110000000009MGI,JH_INVBASDOC_1001A110000000009MN5,JH_INVBASDOC_1001A11000000005DV3H,JH_INVBASDOC_1001A1100000000CP7W8,JH_INVBASDOC_1006B21000000000033F,JH_INVNAME_武钢W82DA,JH_INVNAME_武钢WLX72A-X,JH_INVNAME_武钢WLX82AG,JH_INVNAME_武钢WLX92A,JH_INVNAME_青钢C72D2,JH_INVNAME_青钢C72DA,JH_INVNAME_青钢C82D2,JH_INVNAME_青钢C82DA,JH_INVNAME_青钢C86D2,JH_INVNAME_青钢C92D2E,JH_INVNAME_青钢SWRH72A,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2XUQ,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2YQW,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2YZV,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2ZK5,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2ZUG,JH_INSPECTIONRELAPLAN_IR0000000005ITOC3001,JH_INSPECTIONRELAPLAN_IR0000000005ITOC3073,JH_INSPECTIONRELAPLAN_IR0000000005ITOC30K7,JH_INSPECTIONRELAPLAN_IR0000000005ITOC311T,JH_INSPECTIONRELAPLAN_IR0000000005ITOC317U,JH_INSPECTIONRELAPLAN_IR0000000005ITOC31EC,JH_INSPECTIONRELAPLANNAME_ZX_QG86_PT,JH_INSPECTIONRELAPLANNAME_中心C70A盘条,JH_INSPECTIONRELAPLANNAME_中心C80A盘条,JH_INSPECTIONRELAPLANNAME_盘条C70（001）,JH_INSPECTIONRELAPLANNAME_盘条C80（001）,JH_INSPECTIONRELAPLANNAME_盘条C90（001）,JH_INSPECTIONPLAN_MD0000000005IS3HT1MA,JH_INSPECTIONPLAN_MD0000000005IS3HT1ME,JH_INSPECTIONPLAN_MD0000000005IS3HT4J8,JH_INSPECTIONPLAN_MD0000000005IS3HT4JA,JH_INSPECTIONPLAN_MD0000000005IS3HT4JC,JH_INSPECTIONPLAN_MD0000000005IS3HT5WW,CHECK_HG_FLAG_不合格,CHECK_HG_FLAG_合格,基体组织_S+F微量+P少量,基体组织_S+少量F+少量P,基体组织_S+微量F+少量P,基体组织_S+微量Fe3C+少量P,基体组织_S+微量Fe3C+少量PS+微量Fe3C+少量P,基体组织_S+微量的Fe3C+少量P,实测直径-面积,椭圆度mm-平方项
0,0.001,0.5,0.5,0.02,0.012,0,0.5,0.002,0,0.002,0.028,45.6,0.19,8.5,1207,0.014,0.014,0.53,1,29.31,5.56,0.842,0.11,0.754723671,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.27948466,0.003025
0,0.001,0.5,0.5,0.022,0.015,0,0.5,0.001,0,0.002,0.02,47,0.18,8.5,1030,0.008,0.012,0.52,2,24.64,5.52,0.72,0.12,2.07121684,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,23.9313962,0.0036
0,0.001,0.5,0.5,0.011,0.013,0.026,0.5,0.001,0.006,0.002,0.017,52.8,0.19,9.5,1036,0.009,0.008,0.52,2,24.87,5.53,0.731,0.06,4.204662887,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.0181827,0.0009
0,0.001,0.5,0.5,0.01,0.007,0.019,0.5,0.001,0.006,0.002,0.016,45.7,0.21,8.5,1005,0.009,0.007,0.52,1,24.05,5.52,0.712,0.13,1.659642363,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,23.9313962,0.004225
9,0.004,0.5,0.5,0.19,0.009,0,0.5,0.001,0.006,0.025,0.02,41.2,0.19,9.5,1219,0.016,0.004,0.4,2,30.12,5.61,0.917,0.16,5.729764173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24.71812954,0.0064
0,0.001,0.5,0.5,0.01,0.013,0.025,0.5,0.001,0.006,0.002,0.018,50.9,0.2,9.5,1050,0.009,0.009,0.52,1,25.3,5.54,0.719,0.09,0.999944427,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.002025
0,0.001,0.5,0.5,0.008,0.012,0.022,0.5,0.001,0.006,0.002,0.018,45.2,0.2,8.5,970,0.008,0.01,0.53,2,23.43,5.54,0.711,0.2,1.655286133,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.01
0,0.001,0.5,0.5,0.012,0.011,0.025,0.5,0.001,0.006,0.002,0.022,45.2,0.19,8.5,1051,0.013,0.009,0.51,2,25.34,5.54,0.73,0.16,1.055332341,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.0064
0,0.001,0.5,0.5,0.009,0.009,0.02,0.5,0.001,0.006,0.002,0.017,46.3,0.2,8.5,1033,0.007,0.01,0.53,2,24.91,5.54,0.713,0.18,1.088703012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.0081
0,0.001,0.5,0.5,0.014,0.017,0.033,0.5,0.001,0.006,0.002,0.021,52.4,0.19,9.5,1060,0.011,0.01,0.53,2,25.93,5.58,0.701,0.22,1.297508819,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,24.45447137,0.0121
